,str1,str2,num_codonors,num1,num2,numCommon,jacInd,divMin,divProd,instanceNum
0,VALDEZ DEMINGS,JAMES GRAVES,688,461,202000,1,4.94E-06,0.002169197,1.07E-08,0
1,BERNARD SANDERS,BETTY SUTTON,690,180000,60400,16400,0.073214286,0.271523179,1.51E-06,0
2,SHELLEY BERKLEY,BILL NELSON,690,95900,1670000,21300,0.012209102,0.222106361,1.33E-07,0
3,LOIS CAPPS,BETTY SUTTON,691,97500,39500,30500,0.286384977,0.772151899,7.92E-06,0
4,CLAIRE MCCASKILL,ERNEST POWELL,691,3150000,24100,3,9.45E-07,0.000124481,3.95E-11,0
5,MAZIE HIRONO,SUZANNE BONAMICI,691,78800,78400,460000,-1.519154557,5.867346939,7.45E-05,0
6,RONALD BARBER,JOE MIKLOSI,691,15600,16700,2,6.19E-05,0.000128205,7.68E-09,0
7,JOE MIKLOSI,ERNEST POWELL,692,16700,24100,1,2.45E-05,5.99E-05,2.48E-09,0
8,DANIEL MAFFEI,JOSE HERNANDEZ,693,11200,2620000,182,6.92E-05,0.01625,6.20E-09,0
9,CHRISTOPHER MURPHY,MARK POCAN,693,284000,130000,583000,-3.449704142,4.484615385,1.58E-05,0
10,HEIDI HEITKAMP,ERNEST POWELL,693,369000,24100,1,2.54E-06,4.15E-05,1.12E-10,0
11,NANCY PELOSI,CLAIRE MCCASKILL,694,378000,3150000,38700,0.01109105,0.102380952,3.25E-08,0
12,DANIEL MAFFEI,CLAIRE MCCASKILL,695,11200,3150000,1830,0.000579229,0.163392857,5.19E-08,0
13,CHRISTOPHER MURPHY,JOHN OCEGUERA,700,284000,29400,33,0.000105308,0.001122449,3.95E-09,0
14,SHELDON WHITEHOUSE,RICHARD CARMONA,702,384000,57800,378,0.000856323,0.006539792,1.70E-08,0
15,KATHLEEN HOCHUL,MARK TAKANO,702,21200,89200,65,0.000589115,0.003066038,3.44E-08,0
16,WILLIAM ENYART,RICHARD NOLAN,703,9370,78800,382,0.004351392,0.04076841,5.17E-07,0
17,ROBERT MENENDEZ,MAZIE HIRONO,707,444000,78800,34200,0.069995907,0.434010152,9.78E-07,0
18,KEITH ELLISON,MANAN TRIVEDI,707,882000,16600,188,0.000209258,0.011325301,1.28E-08,0
19,KEITH ELLISON,JOE MIKLOSI,707,882000,16700,359,0.000399626,0.021497006,2.44E-08,0
20,RONALD BARBER,JOSE HERNANDEZ,707,15600,2620000,85,3.23E-05,0.005448718,2.08E-09,0
21,RAUL GRIJALVA,KIRSTEN GILLIBRAND,708,141000,364000,8320,0.016751228,0.059007092,1.62E-07,0
22,G. FOSTER,ROB ZERBAN,710,564000,106000,6,8.96E-06,5.66E-05,1.00E-10,0
23,AMERISH BERA,TIMOTHY KAINE,710,1140,21200,6,0.000268649,0.005263158,2.48E-07,0
24,MARIA CANTWELL,RAUL RUIZ,711,289000,335000,15500,0.025472473,0.053633218,1.60E-07,0
25,DIANNE FEINSTEIN,JOSEPH DONNELLY,711,147000,83400,271,0.0011776,0.0032494,2.21E-08,0
26,RAUL GRIJALVA,LOIS FRANKEL,713,141000,142000,25100,0.097324544,0.178014184,1.25E-06,0
27,TIMOTHY KAINE,KIRSTEN GILLIBRAND,715,21200,364000,1410,0.003673884,0.066509434,1.83E-07,0
28,JON TESTER,SHELDON WHITEHOUSE,716,404000,384000,19300,0.025107324,0.050260417,1.24E-07,0
29,DIANNE FEINSTEIN,JOSE HERNANDEZ,717,147000,2620000,18400,0.006694317,0.125170068,4.78E-08,0
30,BILL NELSON,CHRISTOPHER MURPHY,717,1670000,284000,658000,0.507716049,2.316901408,1.39E-06,0
31,LOUISE SLAUGHTER,WILLIAM ENYART,720,421000,9370,2880,0.006737,0.307363927,7.30E-07,0
32,MARK TAKANO,MARK POCAN,721,89200,116000,11400,0.058823529,0.127802691,1.10E-06,0
